Time_(hours),Parent_Population,Daughter_Population,Granddaughter_Population
493.,57978.6953,254887.7656,687133.6875
494.,57644.7695,254171.5625,688183.6250
495.,57312.7500,253456.4531,689230.4375
496.,56982.6562,252742.2812,690275.1875
497.,56654.4609,252029.0469,691316.2500
498.,56328.1602,251317.0156,692354.6250
499.,56003.7227,250606.0469,693390.5000
500.,55681.1680,249896.1250,694422.6250
501.,55360.4727,249187.2188,695452.5000
502.,55041.6211,248479.4219,696478.9375
503.,54724.5977,247772.6562,697502.6875
504.,54409.4102,247067.0312,698523.6250
505.,54096.0391,246362.5312,699541.4375
506.,53784.4727,245659.0781,700556.4375
507.,53474.6875,244956.7969,701568.5000
508.,53166.6992,244255.4531,702577.5625
509.,52860.4844,243555.3750,703584.4375
510.,52556.0312,242856.4062,704587.5625
511.,52253.3203,242158.6094,705587.9375
512.,51952.3711,241461.8750,706585.8750
513.,51653.1484,240766.3281,707580.5625
514.,51355.6484,240071.7656,708572.5000
515.,51059.8516,239378.5312,709561.5000
516.,50765.7734,238686.4219,710547.5000
517.,50473.3867,237995.4531,711531.0625
518.,50182.6836,237305.6406,712511.8750
519.,49893.6484,236616.9531,713489.1875
520.,49606.2812,235929.4844,714464.3125
521.,49320.5742,235243.1875,715436.4375
522.,49036.5117,234558.1094,716405.5625
523.,48754.0742,233874.2500,717371.7500
524.,48473.2734,233191.5469,718335.1875
525.,48194.0898,232509.8906,719296.1250
526.,47916.5156,231829.5938,720253.8750
527.,47640.5273,231150.5000,721208.8750
528.,47366.1406,230472.5938,722161.4375
529.,47093.3359,229795.9062,723110.7500
530.,46822.1016,229120.4531,724057.3125
531.,46552.4141,228446.1562,725001.6875
532.,46284.3008,227773.1094,725942.5625
533.,46017.7227,227101.3281,726880.9375
534.,45752.6836,226430.7969,727816.6250
535.,45489.1602,225761.4688,728749.3125
536.,45227.1641,225093.3281,729679.5625
537.,44966.6758,224426.4844,730606.8125
538.,44707.6875,223760.8906,731531.5625
539.,44450.1875,223096.6094,732453.0625
540.,44194.1719,222433.5156,733372.3750
541.,43939.6367,221771.7188,734288.6875
542.,43686.5664,221111.0469,735202.3125
543.,43434.9414,220451.7969,736113.1875
544.,43184.7773,219793.7969,737021.3125
545.,42936.0547,219137.0156,737926.7500
546.,42688.7617,218481.5312,738829.9375
547.,42442.8828,217827.2812,739729.8750
548.,42198.4336,217174.3594,740627.1250
549.,41955.3945,216522.7344,741521.8750
550.,41713.7500,215872.3594,742413.8750
551.,41473.4883,215223.3438,743303.1875
552.,41234.6250,214575.5625,744189.7500
553.,40997.1289,213929.0000,745073.8750
554.,40761.0039,213283.8281,745955.0000
555.,40526.2344,212639.9844,746833.8750
556.,40292.8203,211997.4219,747709.7500
557.,40060.7539,211356.1094,748582.9375
558.,39830.0234,210716.1562,749453.6250
559.,39600.6133,210077.4531,750322.1250
560.,39372.5352,209440.0938,751187.3125
561.,39145.7656,208804.0625,752050.1250
562.,38920.3047,208169.3281,752910.3750
563.,38696.1328,207535.9688,753767.6875
564.,38473.2617,206903.8125,754623.0000
565.,38251.6758,206273.0312,755475.3750
566.,38031.3672,205643.6094,756325.0000
567.,37812.3125,205015.5312,757172.3750
568.,37594.5312,204388.7500,758017.0000
569.,37378.0039,203763.2812,758858.9375
570.,37162.7266,203139.0938,759698.1250
571.,36948.6758,202516.3125,760535.1250
572.,36735.8711,201894.8594,761369.1250
573.,36524.2930,201274.7344,762201.1250
574.,36313.9297,200655.9375,763030.1875
575.,36104.7695,200038.5469,763856.7500
576.,35896.8242,199422.3438,764680.8125
577.,35690.0781,198807.5781,765502.3750
578.,35484.5195,198194.1562,766321.2500
579.,35280.1328,197582.0938,767137.8750
580.,35076.9375,196971.3594,767951.5625
581.,34874.9141,196361.9062,768763.2500
582.,34674.0469,195753.8750,769572.1875
583.,34474.3359,195147.1875,770378.1250
584.,34275.7812,194541.8594,771182.3750
585.,34078.3672,193937.8750,771983.6250
586.,33882.0938,193335.2500,772782.6875
587.,33686.9414,192733.9062,773579.2500
588.,33492.9180,192133.9844,774373.3125
589.,33300.0156,191535.4062,775164.6250
590.,33108.2266,190938.1875,775953.7500
591.,32917.5312,190342.3438,776739.8750
592.,32727.9414,189747.7656,777524.2500
593.,32539.4414,189154.6406,778305.9375
594.,32352.0332,188562.8438,779085.3750
595.,32165.6914,187972.4375,779861.8125
596.,31980.4316,187383.3906,780636.3125
597.,31796.2422,186795.6406,781408.0625
598.,31613.1113,186209.2344,782177.8125
599.,31431.0273,185624.2812,782944.8750
600.,31250.0000,185040.6562,783709.1875
601.,31070.0137,184458.4062,784471.7500
602.,30891.0664,183877.5156,785231.5625
603.,30713.1406,183298.0000,785988.9375
604.,30536.2500,182719.7500,786744.0625
605.,30360.3750,182142.9531,787496.7500
606.,30185.5137,181567.5000,788246.9375
607.,30011.6523,180993.4375,788994.8750
608.,29838.8008,180420.7344,789740.5625
609.,29666.9434,179849.3125,790483.8125
610.,29496.0762,179279.3438,791224.5625
611.,29326.1855,178710.7344,791963.0625
612.,29157.2812,178143.4844,792699.1250
613.,28989.3477,177577.5938,793433.1875
614.,28822.3848,177013.0781,794164.5000
615.,28656.3750,176449.8750,794893.8125
616.,28491.3281,175888.0781,795620.6875
617.,28327.2305,175327.6406,796345.0625
618.,28164.0801,174768.5625,797067.5000
619.,28001.8613,174210.8906,797787.1250
620.,27840.5840,173654.4844,798504.8125
621.,27680.2363,173099.5000,799220.3125
622.,27520.8105,172545.8906,799933.2500
623.,27362.2988,171993.6719,800644.0000
624.,27204.7051,171442.7812,801352.2500
625.,27048.0195,170893.2656,802058.8125
626.,26892.2363,170345.0156,802762.8125
627.,26737.3438,169798.2500,803464.4375
628.,26583.3496,169252.8125,804164.0000
629.,26430.2422,168708.7344,804860.8750
630.,26278.0156,168166.0156,805556.1875
631.,26126.6602,167624.6875,806248.6250
632.,25976.1855,167084.6250,806939.2500
633.,25826.5742,166545.9844,807627.4375
634.,25677.8242,166008.6875,808313.3750
635.,25529.9258,165472.7812,808997.3750
636.,25382.8867,164938.2188,809679.0625
637.,25236.6934,164404.9375,810358.3125
638.,25091.3418,163873.0938,811035.5625
639.,24946.8242,163342.6094,811710.6250
640.,24803.1406,162813.4531,812383.6875
641.,24660.2871,162285.6562,813054.0000
642.,24518.2559,161759.2188,813722.5625
643.,24377.0371,161234.0781,814388.9375
644.,24236.6367,160710.3438,815052.8125
645.,24097.0449,160187.9375,815714.9375
646.,23958.2578,159666.8906,816374.8125
647.,23820.2637,159147.2031,817032.5000
648.,23683.0703,158628.7969,817688.1875
649.,23546.6680,158111.8125,818341.6875
650.,23411.0508,157596.1406,818992.8750
651.,23276.2070,157081.8281,819641.8750
652.,23142.1504,156568.8594,820289.1250
653.,23008.8613,156057.2344,820933.6875
654.,22876.3418,155546.8906,821576.6875
655.,22744.5801,155037.9375,822217.5000
656.,22613.5820,154530.3281,822855.8750
657.,22483.3379,154024.0469,823492.6875
658.,22353.8438,153519.1250,824127.0625
